biomarker_page_id,page_name,source_url,section,comparison,biomarker_key,analyte_label,analyte_core,fluid,analyte_class,version,n_raw,effect_size_raw,p_value_raw,n,effect_size,p_value,meta_text,meta_urls
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,albumin_ratio,albumin ratio,albumin ratio,,other,1.x,20,1.100,0.035,20.0,1.1,0.035,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25641/download?token=UyBqc1M-;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-albumin-ratio-csfserum-andor-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,albumin_ratio,albumin ratio,albumin ratio,,other,2.x,21,1.103,0.026,21.0,1.103,0.026,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25641/download?token=UyBqc1M-;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-albumin-ratio-csfserum-andor-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,albumin_ratio,albumin ratio,albumin ratio,,other,3.0,26,1.109,0.002,26.0,1.109,0.002,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25641/download?token=UyBqc1M-;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-albumin-ratio-csfserum-andor-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta38_csf,Aβ38 (CSF),Aβ38,CSF,amyloid,1.x,8,0.992,0.891,8.0,0.992,0.891,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25631/download?token=ICMttQS7;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av38-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta38_csf,Aβ38 (CSF),Aβ38,CSF,amyloid,2.x,11,0.955,0.293,11.0,0.955,0.293,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25631/download?token=ICMttQS7;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av38-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta38_csf,Aβ38 (CSF),Aβ38,CSF,amyloid,3.0,17,0.921,0.034,17.0,0.921,0.034,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25631/download?token=ICMttQS7;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av38-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,1.x,25,0.945,0.019,25.0,0.945,0.019,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25611/download?token=uojBKCvu;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,2.x,32,0.928,0.001,32.0,0.928,0.001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25611/download?token=uojBKCvu;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_csf,Aβ40 (CSF),Aβ40,CSF,amyloid,3.0,51,0.913,<0.0001,51.0,0.913,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25611/download?token=uojBKCvu;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,1.x,21,1.044,0.167,21.0,1.044,0.167,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25591/download?token=YD6DbDef;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-plasma-and-serum
