therapeutic_id,name,url,synonyms,fda_statuses,companies,target_types,therapy_types,approved_for,source_search_ids
aab-003,AAB-003,https://www.alzforum.org/therapeutics/aab-003,PF-05236812,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162
aadvac1,AADvac1,https://www.alzforum.org/therapeutics/aadvac1,Axon peptide 108 conjugated to KLH,"Alzheimer's Disease (Phase 2), Progressive Nonfluent Aphasia (Phase 1)",Axon Neuroscience SE,Tau,Immunotherapy (active),,?fda_statuses[]=181&target_types[]=177 | ?fda_statuses[]=182&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=161 | ?fda_statuses[]=182&therapy_types[]=161 | ?therapy_types[]=161
aav-gad,AAV-GAD,https://www.alzforum.org/therapeutics/aav-gad,"AAV-GAD2, NLX-P101",Parkinson's Disease (Phase 2),"Hologen Limited, MeiraGTx Limited",Other Neurotransmitters,DNA/RNA-based,,?fda_statuses[]=182&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=182&therapy_types[]=164 | ?therapy_types[]=164
aav2-bdnf,AAV2-BDNF,https://www.alzforum.org/therapeutics/aav2-bdnf,,"MCI due to AD (Phase 1), Alzheimer's Disease (Phase 1)",,Other,DNA/RNA-based,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=164 | ?therapy_types[]=164
abbv-1088,ABBV-1088,https://www.alzforum.org/therapeutics/abbv-1088,,Parkinson's Disease (Phase 1),AbbVie,Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
abbv-552,ABBV-552,https://www.alzforum.org/therapeutics/abbv-552,,Alzheimer's Disease (Phase 1),AbbVie,Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
abbv-916,ABBV-916,https://www.alzforum.org/therapeutics/abbv-916,N3pG-Abeta mAb,Alzheimer's Disease (Discontinued),AbbVie,Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162
abt-089,ABT-089,https://www.alzforum.org/therapeutics/abt-089,,Alzheimer's Disease (Discontinued),Abbott Laboratories,Cholinergic System,Small Molecule,,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
abt-288,ABT-288,https://www.alzforum.org/therapeutics/abt-288,,Alzheimer's Disease (Discontinued),AbbVie,"Cholinergic System, Other Neurotransmitters",Small Molecule,,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
abt-384,ABT-384,https://www.alzforum.org/therapeutics/abt-384,,Alzheimer's Disease (Discontinued),AbbVie,Other,Small Molecule,,?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
