search_id,search_name,search_url,therapeutic_id,therapeutic_name,therapeutic_url,synonyms,fda_status,company,target_type,therapy_type,approved_for
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,alia-1758,ALIA-1758,https://www.alzforum.org/therapeutics/alia-1758,,Alzheimer's Disease (Phase 1),"AbbVie, Aliada Therapeutics",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,alx-001,ALX-001,https://www.alzforum.org/therapeutics/alx-001,BMS-984923,Alzheimer's Disease (Phase 1),"Allyx Therapeutics, Inc.","Amyloid-Related, Other Neurotransmitters",Small Molecule,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,alz-101,ALZ-101,https://www.alzforum.org/therapeutics/alz-101,,Alzheimer's Disease (Phase 1),Alzinova AB,Amyloid-Related,Immunotherapy (active),
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,s603,AS-S603,https://www.alzforum.org/therapeutics/s603,,"Alzheimer's Disease (Phase 1), Mild Cognitive Impairment (Phase 1)",Amyloid Solution Inc.,"Amyloid-Related, Tau",Small Molecule,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,av-1959d,AV-1959D,https://www.alzforum.org/therapeutics/av-1959d,AV-1959,Alzheimer's Disease (Phase 1),,Amyloid-Related,Immunotherapy (active),
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,cpg-1018r,CpG 1018®,https://www.alzforum.org/therapeutics/cpg-1018r,"CpG oligodeoxynucleotides, CpG ODN",Alzheimer's Disease (Phase 1),Dynavax Technologies,"Amyloid-Related, Inflammation","Immunotherapy (active), DNA/RNA-based",
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,cs6253,CS6253,https://www.alzforum.org/therapeutics/cs6253,"Cogpep™, CS-6253",Alzheimer's Disease (Phase 1),"Artery Therapeutics, Inc.","Amyloid-Related, Cholesterol",Small Molecule,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,efavirenz,Efavirenz,https://www.alzforum.org/therapeutics/efavirenz,Efavirenz,Alzheimer's Disease (Phase 1),,"Amyloid-Related, Tau, Cholesterol",Small Molecule,HIV infection
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,focused-ultrasound-blood-brain-barrier,Focused Ultrasound – Blood-Brain Barrier,https://www.alzforum.org/therapeutics/focused-ultrasound-blood-brain-barrier,"FUS-BBB, MRgFUS, MRI-Guided Focused Ultrasound, FUS+MB","Alzheimer's Disease (Phase 1), Amyotrophic Lateral Sclerosis (Phase 1), Mild Cognitive Impairment (Phase 1), Parkinson's Disease (Phase 1)",,"Amyloid-Related, Other",Procedural Intervention,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,ibc-ab002,IBC-Ab002,https://www.alzforum.org/therapeutics/ibc-ab002,,Alzheimer's Disease (Phase 1),ImmunoBrain Checkpoint,"Amyloid-Related, Inflammation, Other",Immunotherapy (passive),
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,memorem-transcranial-electromagnetic-treatment,MemorEM Transcranial Electromagnetic Treatment,https://www.alzforum.org/therapeutics/memorem-transcranial-electromagnetic-treatment,TEMT,Alzheimer's Disease (Phase 1),"NeuroEM Therapeutics, Inc.","Amyloid-Related, Other",Procedural Intervention,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,mivelsiran,Mivelsiran,https://www.alzforum.org/therapeutics/mivelsiran,ALN-APP,"Alzheimer's Disease (Phase 1), Cerebral Amyloid Angiopathy (Phase 2)","Alnylam Pharmaceuticals, Inc.",Amyloid-Related,DNA/RNA-based,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,pmn310,PMN310,https://www.alzforum.org/therapeutics/pmn310,,Alzheimer's Disease (Phase 1),"ProMIS Neurosciences, Inc.",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,pri-002,PRI-002,https://www.alzforum.org/therapeutics/pri-002,"Contraloid, contraloid acetate, RD2",Alzheimer's Disease (Phase 1),Priavoid GmbH,Amyloid-Related,Small Molecule,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,vg-3927,VG-3927,https://www.alzforum.org/therapeutics/vg-3927,,Alzheimer's Disease (Phase 1),"Vigil Neuroscience, Inc.","Amyloid-Related, Inflammation",Small Molecule,
?fda_statuses[]=181&target_types[]=170,16,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=181&target_types[]=170,vhb937,VHB937,https://www.alzforum.org/therapeutics/vhb937,,"Alzheimer's Disease (Phase 1), Amyotrophic Lateral Sclerosis (Phase 2)",Novartis Pharmaceuticals Corporation,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=33251&target_types[]=170,1,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=33251&target_types[]=170,lx1001,LX1001,https://www.alzforum.org/therapeutics/lx1001,"AAVrh.10-APOE2, AAVrh.10hAPOE2",Alzheimer's Disease (Phase 1/2),Lexeo Therapeutics,Amyloid-Related,DNA/RNA-based,
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,abvac40,ABvac40,https://www.alzforum.org/therapeutics/abvac40,,Alzheimer's Disease (Phase 2),Araclon Biotech,Amyloid-Related,Immunotherapy (active),
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,aci-24060,ACI-24.060,https://www.alzforum.org/therapeutics/aci-24060,"ACI-24, Pal1-15 acetate salt","Alzheimer's Disease (Phase 2), Down's Syndrome (Phase 2)","AC Immune SA, Takeda Pharmaceutical Company",Amyloid-Related,Immunotherapy (active),
