entity_id,section_name,section_title,section_order,text
abca7,overview,Overview,1,"ABCA7 is a member of the highly conserved superfamily of ATP-binding cassette (ABC) transporters. These multipass transmembrane proteins use energy from ATP hydrolysis to transfer molecules across membrane barriers. ABCA7 is abundantly expressed in white blood cells, in macrophages, and in microglia, where it is thought to play a role in phagocytosis. The ABCA7 gene started drawing attention in Alzheimer’s disease research when a genome-wide association study (GWAS) identified it as a risk factor for late-onset AD. Subsequent meta-analysis confirmed the association, and the gene ranks among the top 10 risk genes on AlzGene . The association is strongest for African-Americans, in whom one ABCA7 variant was found to nearly double the risk of AD, with an effect size approaching that of ApoE . Despite the evidence linking ABCA7 to AD, the underlying mechanism of ABCA7’s role in AD pathogenesis remains unknown. ABCA7 could impact AD pathogenesis through a variety of mechanisms, including regulation of APP processing and clearance of Aβ through phagocytosis. Overall, the identification of ABCA7 as an AD risk factor further strengthens the importance of lipid homeostasis in the development of the disease."
abca7,references,References,2,ApoE AlzGene
abca7,further-reading,Further Reading,3,"AD GWAS in African Americans Confirms, Reshuffles AlzGene List 9 Apr 2013 Large Genetic Analysis Pays Off With New AD Risk Genes 3 Apr 2011 GWAS Mega-Meta Yields More Risk Genes, BIN1 Binds Tau? 15 Aug 2012 The ABC(A1)'s of Human ApoE—More Evidence for Isoform Differences 21 Sep 2012 Researchers Join to Draw Posterior Cortical Atrophy Out of Shadows 29 Jul 2012 Boosting ABC Transporter Helps AD Mice Clear Brain Aβ 19 Sep 2011 Kim WS, Weickert CS, Garner B . Role of ATP-binding cassette transporters in brain lipid transport and neurological disease . J Neurochem . 2008 Mar;104(5):1145-66. PubMed . Piehler AP, Ozcürümez M, Kaminski WE . A-Subclass ATP-Binding Cassette Proteins in Brain Lipid Homeostasis and Neurodegeneration . Front Psychiatry . 2012;3:17. PubMed . Reitz C . Dyslipidemia and the risk of Alzheimer's disease . Curr Atheroscler Rep . 2013 Mar;15(3):307. PubMed ."
adam10,overview,Overview,1,"ADAM10 stands for A Disintegrin and Metalloproteinase 10. This membrane protein is a sheddase and thought to be the physiological α-secretase for the amyloid precursor protein ( APP ) . In contrast to cleavage by β-secretase, ADAM10-mediated processing of APP is not amyloidogenic because cleavage takes place within the Aβ region, precluding Aβ generation. The proteolytic processing of APP by ADAM10 produces a secreted ectodomain fragment (sAPPα) that has neuroprotective and neurotrophic properties. For these reasons, increasing ADAM10 activity is viewed as potentially therapeutic for Alzheimer’s disease; however, pharmacological approaches have not yet succeeded. Besides APP, physiological substrates of ADAM10 include Notch and various immune and growth factor proteins, and the protease itself can be processed into signaling molecules. ADAM10 influences neural development, neuroprotection, and synaptic physiology. Two rare mutations in ADAM10 have been associated with familial late-onset AD."
adam10,references,References,2,amyloid precursor protein (
adam10,further-reading,Further Reading,3,"LOADed ADAM 10 Mutations Bolster Amyloid Hypothesis 27 Sep 2013 Endocytosis Pulls α-Secretase From Synapses 13 May 2013 All About ADAM10—The Neuronal α-Secretase 9 Apr 2010 Copper Mountain: Knight Vision—SIRT1 Aids ADAM10, Slays Aβ 1 Feb 2010 More AD Genetics—A Familial Hit from the ADAMs Family 12 Aug 2009 Shedding Assumes α Status 21 May 2006 Vingtdeux V, Marambaud P . Identification and biology of α-secretase . J Neurochem . 2012 Jan;120 Suppl 1:34-45. Epub 2011 Nov 28 PubMed . Prox J, Rittger A, Saftig P . Physiological functions of the amyloid precursor protein secretases ADAM10, BACE1, and Presenilin . Exp Brain Res . 2011 Nov 27; PubMed . Endres K, Fahrenholz F . Regulation of alpha-secretase ADAM10 expression and activity . Exp Brain Res . 2011 Oct 4; PubMed . Lichtenthaler SF . Alpha-secretase cleavage of the amyloid precursor protein: proteolysis regulated by signaling pathways and protein trafficking . Curr Alzheimer Res . 2012 Feb;9(2):165-77. PubMed . Vincent B, Checler F . α-Secretase in Alzheimer's Disease and Beyond: Mechanistic, Regulation and Function in the Shedding of Membrane Proteins . Curr Alzheimer Res . 2011 May 23; PubMed . Edwards DR, Handsley MM, Pennington CJ . The ADAM metalloproteinases . Mol Aspects Med . 2008 Oct;29(5):258-89. PubMed ."
amyloid-v-av,overview,Overview,1,"Amyloid-β (Aβ) peptides are produced from the regulated intramembrane proteolysis of the amyloid precursor protein (APP) . Sequential proteolytic cleavage events by β- and γ-secretase generate Aβ peptides of varying lengths, including Aβ40 and Aβ42. Its two extra hydrophobic residues give Aβ42 a higher propensity to aggregate into soluble oligomers and insoluble deposits than Aβ40 or the range of shorter peptides that have been observed in recent years by mass spectrometry analysis of cerebral spinal fluid (CSF). Multiple aggregated forms exist, from dimers to β-pleated sheet fibrils in compact neuritic plaques, but a primary toxic species, or its mechanism of neuronal toxicity, has not been definitively identified. Mutations linked to familial Alzheimer’s disease generally exert pathogenic effects by increasing overall Aβ levels and/or the Aβ42:Aβ40 ratio. Aβ clearance—by way of enzymes, transport along the brain’s vasculature, or microglial phagocytosis—is thought to decrease with aging or as a result of interaction with other genetic risk factors for AD. Excess amounts of Aβ can induce a variety of pathologic processes. Aβ can impair neuronal and glial function, synaptic physiology, neurotransmission, and cognition. Evidence points to transcellular spread and templated seeding, and the resulting deposition of aggregated Aβ into extraneuronal amyloid plaques is a pathological hallmark of AD. Aβ reduction in the CSF starts more than a decade before symptoms; this is a biomarker of AD and clinical-grade CSF assays are being developed. The FDA has approved two positron emission tomography (PET) tracers for the detection of brain amyloid burden during life, but the lack of insurance reimbursement limits their use. Animal models of Aβ amyloidosis respond to therapy with small-molecule and immunotherapy drugs, but these findings have been only partially borne out in human trials. As of yet, no anti-amyloid approach has achieved clinical benefit to support FDA approval."
amyloid-v-av,references,References,2,APP
amyloid-v-av,further-reading,Further Reading,3,"Protein Disrupts Aβ–Prion Tryst, Blocks Aβ Toxicity 23 Oct 2013 Aβ Fibrils Drive Oligomer Formation, New Model Suggests 24 May 2013 Aβ Vaccine Leads to Safer Immune Response in Mice 25 Apr 2013 ApoE Does Not Bind Aβ, Competes for Clearance 29 Apr 2013 Aβ*56 Found in Human CSF, Correlates With Tau? 15 Mar 2013 New Assays for Aβ Oligomers—Spinal Fluid a Miss, Brain Awash 5 Feb 2013 Can Dousing PyroGlu-Aβ Treat Alzheimer’s Disease? 20 Mar 2013 In Familial AD, Aβ Production Up, Clearance Down 14 Jun 2013 Ittner LM, Götz J . Amyloid-β and tau--a toxic pas de deux in Alzheimer's disease . Nat Rev Neurosci . 2011 Feb;12(2):65-72. PubMed . Mucke L, Selkoe DJ . Neurotoxicity of Amyloid β-Protein: Synaptic and Network Dysfunction . Cold Spring Harb Perspect Med . 2012 Jul;2(7):a006338. PubMed . Palop JJ, Mucke L . Amyloid-beta-induced neuronal dysfunction in Alzheimer's disease: from synapses toward neural networks . Nat Neurosci . 2010 Jul;13(7):812-8. PubMed ."
apoe,overview,Overview,1,"Apolipoprotein E is a secreted apolipoprotein involved in lipid metabolism. It complexes with lipids to form lipoprotein particles that transport cholesterol and triglycerides via the bloodstream and facilitate the transfer of cholesterol and phospholipids between cells in the brain. In the periphery, ApoE is expressed by hepatocytes and macrophages. In the brain, it is produced and secreted primarily by astrocytes and activated microglia. ApoE has three isoforms— ApoE2 , E3, and E4 —with unique cysteine/arginine combinations at positions 130 and 176. Every person has an APOE genotype determined by homozygous or heterozygous pairs of the alleles encoding these isoforms—for example, APOE3/E3 or APOE3/E4. The APOE4 allele is thought to be the ancestral form of the APOE gene which gave rise to APOE2 and APOE3. While APOE4 increases the risk for late-onset Alzheimer’s disease, APOE2 reduces it. The largest datasets from studies of Caucasian populations show APOE4 increasing AD risk in a dose-dependent manner with one allele raising risk about threefold, and two alleles elevating it 10- to 15-fold relative to APOE3. In contrast, one APOE2 allele cuts AD risk down to about half of that of carriers of two APOE3 alleles, and two alleles reduce it to 13 percent. Overall, the population risk that can be attributed to APOE4 is approximately 20 percent, although its effects vary between populations of different ancestries. APOE4 also modifies the age of AD onset, with carriers’ symptoms emerging about five years earlier than those of non-carriers. Whether and under what circumstances APOE4 affects disease progression remains uncertain, although most studies suggest it accelerates it. ApoE4 initiates a cascade of early alterations which can lead to later pathological changes associated with AD, including both gain- and loss-of-function effects relative to ApoE3. It appears to contribute to both hallmark AD pathologies, amyloid plaques and neurofibrillary tangles. In addition, it has been blamed for altering lipid transport and metabolism in brain cells and fueling neuroinflammation, abnormal cellular stress responses, and blood-brain barrier breakdown. ApoE4 has also been reported to reduce neurogenesis, disrupt endocytosis and intracellular trafficking, impair mitochondrial function and energy metabolism, as well as modify transcription. At a tissue level, it appears to alter brain glucose metabolism and cause neural network dysfunction. Multiple approaches to therapeutically counter the harmful effects of ApoE4 are being examined, ranging from directly targeting the protein to mitigating its downstream effects. In addition to the three common APOE alleles— APOE2 , E3, and E4 —genetic variants in other positions, many of them rare, have also been studied (see APOE genetic variant dataset ). Some have been tied to AD or to other neurological disorders, and/or to peripheral conditions including alterations of lipid metabolism, cardiovascular health, and kidney function."
apoe,references,References,2,APOE R176C (ApoE2) APOE C130R (ApoE4) APOE 5 Dec 2022
