therapeutic_id,name,url,synonyms,fda_statuses,companies,target_types,therapy_types,approved_for,source_search_ids,page_title,detail_name,detail_synonyms,detail_therapy_type,detail_target_type,detail_conditions,detail_fda_status,detail_company,detail_approved_for,mechanism_summary,mechanism_raw,overview_raw,status_overall,trial_phase_max,has_phase3,trial_count_timeline,last_updated,detail_url
aab-003,AAB-003,https://www.alzforum.org/therapeutics/aab-003,PF-05236812,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162,Therapeutics,AAB-003,PF-05236812,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001). AAB-003 was modified to differ from bapineuzumab in its Fc fraction in hopes of reducing the antibody’s effector function on microglial activation.,"Background AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001) . AAB-003 was modified to differ from bapineuzumab in its Fc fraction in hopes of reducing the antibody’s effector function on microglial activation. The rationale was that this would avoid amyloid-related imaging abnormalities (ARIA), a complication of bapineuzumab treatment ( Crespi et al., 2014 ; Moreth et al., 2013 ).","Overview Name: AAB-003 Synonyms: PF-05236812 Therapy Type: Immunotherapy (passive) (timeline) Target Type: Amyloid-Related (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: Janssen, Pfizer",discontinued,,False,,02 Feb 2018,https://www.alzforum.org/therapeutics/aab-003
aadvac1,AADvac1,https://www.alzforum.org/therapeutics/aadvac1,Axon peptide 108 conjugated to KLH,"Alzheimer's Disease (Phase 2), Progressive Nonfluent Aphasia (Phase 1)",Axon Neuroscience SE,Tau,Immunotherapy (active),,?fda_statuses[]=181&target_types[]=177 | ?fda_statuses[]=182&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=161 | ?fda_statuses[]=182&therapy_types[]=161 | ?therapy_types[]=161,Therapeutics,AADvac1,Axon peptide 108 conjugated to KLH,Immunotherapy (active),Tau,"Alzheimer's Disease, Progressive Nonfluent Aphasia","Alzheimer's Disease (Phase 2), Progressive Nonfluent Aphasia (Phase 1)",Axon Neuroscience SE,,This is an active vaccine designed to elicit an immune response against pathologically modified forms of tau protein. It targets four similar epitopes in the microtubule binding repeats of the mid-domain of tau.,"Background This is an active vaccine designed to elicit an immune response against pathologically modified forms of tau protein. It targets four similar epitopes in the microtubule binding repeats of the mid-domain of tau. The approach was inspired by research that began several decades ago on tau cleavage generating N-terminally truncated fragments that trigger tangle formation ( Feb 2013 news ; Paholikova et al., 2015 ). The AADvac1 vaccine consists of a synthetic peptide derived from amino acids 294 to 305 of the tau sequence, i.e., KDNIKHVPGGGS, coupled to keyhole limpet hemocyanin. AADvac1 uses aluminum hydroxide as an adjuvant. At the 2014 AAIC conference in Copenhagen, preclinical studies were reported as having met safety requirements for up to six months in rats, rabbits, and dogs; a paper reported that the vaccine reduced tau pathology and improved sensorimotor function in transgenic rats ( Aug 2014 news ; Kontsekova et al., 2014 ). In other preclinical work, a monoclonal antibody targeting this epitope prevented tau-tau oligomerization, blocked pathological tau spreading through the brain, and facilitated uptake of extracellular tau by microglia ( Kontsekova et al., 2014 ; Weisová et al., 2019 ; Zilkova et al., 2020 ).","Overview Name: AADvac1 Synonyms: Axon peptide 108 conjugated to KLH Therapy Type: Immunotherapy (active) (timeline) Target Type: Tau (timeline) Condition(s): Alzheimer's Disease, Progressive Nonfluent Aphasia U.S. FDA Status: Alzheimer's Disease (Phase 2), Progressive Nonfluent Aphasia (Phase 1) Company: Axon Neuroscience SE",ongoing,2.0,False,3.0,20 Dec 2023,https://www.alzforum.org/therapeutics/aadvac1
aav-gad,AAV-GAD,https://www.alzforum.org/therapeutics/aav-gad,"AAV-GAD2, NLX-P101",Parkinson's Disease (Phase 2),"Hologen Limited, MeiraGTx Limited",Other Neurotransmitters,DNA/RNA-based,,?fda_statuses[]=182&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=182&therapy_types[]=164 | ?therapy_types[]=164,Therapeutics,AAV-GAD,"AAV-GAD2, NLX-P101",DNA/RNA-based,Other Neurotransmitters,Parkinson's Disease,Parkinson's Disease (Phase 2),"Hologen Limited, MeiraGTx Limited",,"AAV-GAD is a gene therapy for Parkinson’s disease. It delivers the glutamic acid decarboxylase (GAD) gene to the subthalamic nucleus, where this enzyme then increases production of the inhibitory neurotransmitter γ-amino-butyric acid (GABA).","Background AAV-GAD is a gene therapy for Parkinson’s disease. It delivers the glutamic acid decarboxylase (GAD) gene to the subthalamic nucleus, where this enzyme then increases production of the inhibitory neurotransmitter γ-amino-butyric acid (GABA). In people with Parkinson’s disease, increased activity of subthalamic nucleus neurons due to loss of inhibitory input contributes to movement problems such as tremor, rigidity, and difficulty walking. The goal of GAD gene therapy is to boost levels of GABA and normalize activity of these neurons. This is a similar mechanism to subthalamic deep brain stimulation, an approved surgical treatment for Parkinson’s symptoms. The therapy, originally developed at Neurologix Inc., consists of a 1:1 mixture of two adenovirus vectors encoding the GAD-65 and GAD-67 enzyme isoforms, under regulation of cytomegalovirus enhancer–chicken β-actin promoter and woodchuck posttranscriptional regulatory elements. It is a given as a one-time injection, utilizing a surgical procedure similar to the implantation of deep brain stimulation (DBS) electrodes. In preclinical work in rats, AAV-GAD injection into the subthalamic nucleus on one side led to robust GAD expression on the injected side five months later, but not on the uninjected side. In a toxin-induced Parkinson’s model, AAV-GAD-treated animals maintained significantly higher levels of GABA, better movement, and more dopamine neurons ( Luo et al., 2002 ). An independent group showed efficacy of an AAV-GAD65 vector in Parkinson’s rats ( Kim et al., 2008 ). The gene therapy was safe and improved some motor symptoms in a rhesus monkey model of Parkinson’s ( Emborg et al., 2007 ). In a safety study performed in rats, AAV-GAD was not detected in blood or CSF after subthalamic injection. The vector did not disseminate to any organs outside the brain in most animals, or cause changes in general health or behavior ( Fitzsimons et al., 2010 ).","Overview Name: AAV-GAD Synonyms: AAV-GAD2, NLX-P101 Therapy Type: DNA/RNA-based Target Type: Other Neurotransmitters (timeline) Condition(s): Parkinson's Disease U.S. FDA Status: Parkinson's Disease (Phase 2) Company: Hologen Limited, MeiraGTx Limited",ongoing,2.0,False,,21 Nov 2025,https://www.alzforum.org/therapeutics/aav-gad
aav2-bdnf,AAV2-BDNF,https://www.alzforum.org/therapeutics/aav2-bdnf,,"MCI due to AD (Phase 1), Alzheimer's Disease (Phase 1)",,Other,DNA/RNA-based,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=164 | ?therapy_types[]=164,Therapeutics,AAV2-BDNF,,DNA/RNA-based,Other,"MCI due to AD, Alzheimer's Disease","MCI due to AD (Phase 1), Alzheimer's Disease (Phase 1)",,,This gene therapy uses an adeno-associated virus serotype 2 (AAV2) vector to carry a gene for human brain-derived neurotrophic factor into the brain. BDNF regulates neuron survival and function in key memory circuits in entorhinal cortex and hippocampus.,"Background This gene therapy uses an adeno-associated virus serotype 2 (AAV2) vector to carry a gene for human brain-derived neurotrophic factor into the brain. BDNF regulates neuron survival and function in key memory circuits in entorhinal cortex and hippocampus. In people with AD, BDNF is decreased. AAV2-BDNF attempts to restore normal levels of BDNF. This program follows CERE-110 , which attempted to deliver NGF via AAV ( Mar 2018 news) . IIn early studies with mouse models of AD, BDNF gene therapy reversed synaptic loss, and restored learning and memory, without affecting amyloid plaque load ( Nagahara et al., 2009 ; Nagahara et al., 2013 ). The same studies used rats and nonhuman primates to show that BDNF protein or lentivirus-BDNF delivered to the brain reduced age-related cognitive decline. Preclinical work with MRI-guided injection of AAV2-BDNF into the entorhinal cortex in nonhuman primates demonstrated elevation of BDNF protein in neurons of that region, and in the hippocampus, with no apparent safety issues ( Nagahara et al., 2018 ; for review, see Tuszynski 2024 ).","Overview Name: AAV2-BDNF Therapy Type: DNA/RNA-based Target Type: Other (timeline) Condition(s): MCI due to AD, Alzheimer's Disease U.S. FDA Status: MCI due to AD (Phase 1), Alzheimer's Disease (Phase 1)",ongoing,1.0,False,,15 Nov 2024,https://www.alzforum.org/therapeutics/aav2-bdnf
abbv-1088,ABBV-1088,https://www.alzforum.org/therapeutics/abbv-1088,,Parkinson's Disease (Phase 1),AbbVie,Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ABBV-1088,,Small Molecule,Other,Parkinson's Disease,Parkinson's Disease (Phase 1),AbbVie,,ABBV-1088 is an activator of the mitochondrial kinase PINK1. It is being developed as a potential disease-modifying therapy for Parkinson's disease.,"Background ABBV-1088 is an activator of the mitochondrial kinase PINK1. It is being developed as a potential disease-modifying therapy for Parkinson's disease. This small molecule is taken by mouth. Mutations in PINK1 that destroy its kinase activity cause early onset Parkinson’s disease, likely by impairing mitochondria quality control ( Valente et al., 2004 ). Researchers at the University of California, San Francisco, identified the PINK1 activator kinetin triphosphate. This ATP analog increased phosphorylation of key substrates, normalized mitochondrial mobility, and reduced apoptosis in response to oxidative stress in human neural cells ( Hertz et al., 2013 ). In fruit flies, kinetin was reported to reduce age-associated mitochondrial DNA deterioration ( Tsai et al., 2022 ). However, kinetin failed to protect against α-synuclein-induced neurodegeneration in mouse Parkinson’s models ( Orr et al., 2017 ). Subsequent screening and optimization of kinetin analogs identified MTK458, a brain-penetrant compound that selectively activated PINK1 on mitochondria ( Chin et al., 2023 preprint ). In a mouse model of α-synuclein pathology, MTK458 was reported to increase clearance of defective mitochondria and α-synuclein aggregates and, in a wild-type mouse model of intracerebral hemorrhage, it decreased edema, NRLP3 induction, and neurologic outcomes ( Hertz et al., 2024 preprint ; Li et al., 2025 ). For review, see Antico et al., 2025 . Based on the earlier work, the company Mitokinin was founded in 2013. AbbVie acquired it in 2023 ( press release ).",Overview Name: ABBV-1088 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): Parkinson's Disease U.S. FDA Status: Parkinson's Disease (Phase 1) Company: AbbVie,ongoing,1.0,False,,01 Jul 2025,https://www.alzforum.org/therapeutics/abbv-1088
abbv-552,ABBV-552,https://www.alzforum.org/therapeutics/abbv-552,,Alzheimer's Disease (Phase 1),AbbVie,Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ABBV-552,,Small Molecule,Other,Alzheimer's Disease,Alzheimer's Disease (Phase 1),AbbVie,,"Formerly called SDI-118, ABBV-552 is an oral drug that modulates synaptic vesicle glycoprotein 2A (SV2A). It is being investigated for whether it is able to improve cognition in Alzheimer’s and other dementias, as well as in major depression and schizophrenia.","Background Formerly called SDI-118, ABBV-552 is an oral drug that modulates synaptic vesicle glycoprotein 2A (SV2A). It is being investigated for whether it is able to improve cognition in Alzheimer’s and other dementias, as well as in major depression and schizophrenia. SV2A is the target of the anti-seizure medication levetiracetam , and plays an important if not fully understood role in neuronal excitability and neurotransmission. Discoveries about the contribution of hippocampal hyperexcitability and epileptic brain activity to cognitive decline spurred interest in repurposing epilepsy therapies to treat AD (e.g., Aug 2012 news ; Vossel et al., 2016 ). Levetiracetam and a low-dose formulation, AGB101 , are currently in Phase 2/3 trials for AD. Discovered at UCB Biopharma in Belgium, SDI-118 belongs to a new class of SV2A binders. According to UCB, it lacks anti-convulsant and anti-seizure activity, but maintains efficacy as a cognitive enhancer in preclinical studies (Jun 2019 company report ). In 2018, UCB spun out a new company, Syndesi Therapeutics, to further develop SDI-118 and other novel SV2A modulators.",Overview Name: ABBV-552 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Phase 1) Company: AbbVie,ongoing,1.0,False,,28 Feb 2023,https://www.alzforum.org/therapeutics/abbv-552
abbv-916,ABBV-916,https://www.alzforum.org/therapeutics/abbv-916,N3pG-Abeta mAb,Alzheimer's Disease (Discontinued),AbbVie,Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162,Therapeutics,ABBV-916,N3pG-Abeta mAb,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,Alzheimer's Disease (Discontinued),AbbVie,,"ABBV-916 is a monoclonal antibody to Aβ. It recognizes N-terminal truncated Aβ modified with pyroglutamate at position 3 (N3), a form that is aggregated in amyloid plaques.","Background ABBV-916 is a monoclonal antibody to Aβ. It recognizes N-terminal truncated Aβ modified with pyroglutamate at position 3 (N3), a form that is aggregated in amyloid plaques. Its specificity is similar to Lilly’s donanemab and remternetug . The goal with these antibodies is to remove amyloid plaques quickly and completely. In preclinical work, ABBV-916 selectively bound to recombinant AβpE3-42 fibrils and native amyloid plaques in unfixed AD brain tissue, but did not bind targets in human CSF. ABBV-916 promoted the clearance of dense plaques in co-cultures of human brain tissue and iPSC-derived macrophages. In APPPS1-21 mice, the murine form of ABBV-916 rapidly recruited microglia to amyloid plaques and promoted their clearance, without causing brain bleeds ( Liao et al., 2025 ).",Overview Name: ABBV-916 Synonyms: N3pG-Abeta mAb Therapy Type: Immunotherapy (passive) (timeline) Target Type: Amyloid-Related (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: AbbVie,discontinued,,False,,30 Sep 2025,https://www.alzforum.org/therapeutics/abbv-916
abt-089,ABT-089,https://www.alzforum.org/therapeutics/abt-089,,Alzheimer's Disease (Discontinued),Abbott Laboratories,Cholinergic System,Small Molecule,,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ABT-089,,Small Molecule,Cholinergic System,Alzheimer's Disease,Alzheimer's Disease (Discontinued),Abbott Laboratories,,,Background,Overview Name: ABT-089 Therapy Type: Small Molecule (timeline) Target Type: Cholinergic System (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: Abbott Laboratories,discontinued,,False,,10 Aug 2013,https://www.alzforum.org/therapeutics/abt-089
abt-288,ABT-288,https://www.alzforum.org/therapeutics/abt-288,,Alzheimer's Disease (Discontinued),AbbVie,"Cholinergic System, Other Neurotransmitters",Small Molecule,,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ABT-288,,Small Molecule,"Cholinergic System, Other Neurotransmitters",Alzheimer's Disease,Alzheimer's Disease (Discontinued),AbbVie,,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia. The rationale was to boost release in the brain of histamine, acetylcholine, noradrenaline, and dopamine in an attempt to enhance cognitive processes.","Background Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia. The rationale was to boost release in the brain of histamine, acetylcholine, noradrenaline, and dopamine in an attempt to enhance cognitive processes. In particular, the approach has been proposed to increase cholinergic signaling, which wanes with neurodegeneration in AD ( Passani and Blandina, 1998 ; Bembenek et al., 2008 ; Bitner et al., 2011 , Brioni et al., 2011 ). Blocking the receptor has been a target of several small-molecule therapeutic programs for cognition disorders at other companies as well, e.g. GSK239512 , S 38093 .","Overview Name: ABT-288 Therapy Type: Small Molecule (timeline) Target Type: Cholinergic System (timeline) , Other Neurotransmitters (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: AbbVie",discontinued,,False,,15 Jan 2016,https://www.alzforum.org/therapeutics/abt-288
abt-384,ABT-384,https://www.alzforum.org/therapeutics/abt-384,,Alzheimer's Disease (Discontinued),AbbVie,Other,Small Molecule,,?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ABT-384,,Small Molecule,Other,Alzheimer's Disease,Alzheimer's Disease (Discontinued),AbbVie,,This is a selective 11-β-hydroxysteroid dehydrogenase type 1 (HSD-1) inhibitor that was evaluated to test the hypothesis that elevated cortisol levels in the brain contribute to cognitive impairment.,Background This is a selective 11-β-hydroxysteroid dehydrogenase type 1 (HSD-1) inhibitor that was evaluated to test the hypothesis that elevated cortisol levels in the brain contribute to cognitive impairment.,Overview Name: ABT-384 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: AbbVie,discontinued,,False,,29 Nov 2019,https://www.alzforum.org/therapeutics/abt-384
