therapeutic_id,target_name,target_kind,action_type,is_primary_target,target_notes
aab-003,Amyloid-Related,pathway_or_process,antibody,True,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001).
aadvac1,Tau,pathway_or_process,antibody,True,This is an active vaccine designed to elicit an immune response against pathologically modified forms of tau protein.
aav-gad,Other Neurotransmitters,pathway_or_process,gene_therapy,True,AAV-GAD is a gene therapy for Parkinson’s disease.
aav2-bdnf,Other,pathway_or_process,gene_therapy,True,This gene therapy uses an adeno-associated virus serotype 2 (AAV2) vector to carry a gene for human brain-derived neurotrophic factor into the brain.
abbv-1088,Other,pathway_or_process,small_molecule,True,ABBV-1088 is an activator of the mitochondrial kinase PINK1.
abbv-552,Other,pathway_or_process,small_molecule,True,"Formerly called SDI-118, ABBV-552 is an oral drug that modulates synaptic vesicle glycoprotein 2A (SV2A)."
abbv-916,Amyloid-Related,pathway_or_process,antibody,True,ABBV-916 is a monoclonal antibody to Aβ.
abt-089,Cholinergic System,pathway_or_process,small_molecule,True,
abt-288,Cholinergic System,pathway_or_process,small_molecule,True,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia."
abt-288,Other Neurotransmitters,pathway_or_process,small_molecule,False,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia."
abt-384,Other,pathway_or_process,small_molecule,True,This is a selective 11-β-hydroxysteroid dehydrogenase type 1 (HSD-1) inhibitor that was evaluated to test the hypothesis that elevated cortisol levels in the brain contribute to cognitive impairment.
abt-418,Cholinergic System,pathway_or_process,small_molecule,True,"Acute administration of nicotine to AD patients improved accuracy of delayed recall, as well as deficits in attention and information processing ( Sahakian et al."
abt-957,Other,pathway_or_process,small_molecule,True,This compound is an inhibitor of the calcium-dependent cysteine protease calpain.
abvac40,Amyloid-Related,pathway_or_process,antibody,True,ABvac40 is an investigational vaccine targeting the C terminus of Aβ40.
acd856,Other,pathway_or_process,small_molecule,True,"This small molecule is a positive allosteric modulator of Trk receptors, which mediate the effects of BDNF, NGF, and other neurotrophic factors."
acetyl-l-carnitine-hci,Other,pathway_or_process,supplement,True,ALCAR is a naturally occurring substance.
aci-24060,Amyloid-Related,pathway_or_process,antibody,True,ACI-24 is a liposome vaccine designed to elicit an antibody response against aggregated Aβ peptides without concomitant pro-inflammatory T cell activation.
aci-3024,Tau,pathway_or_process,small_molecule,True,ACI-3024 is a small-molecule inhibitor of tau aggregation.
aci-7104056,alpha-synuclein,pathway_or_process,antibody,True,PD01A is an active vaccine to α-synuclein.
acitretin,Amyloid-Related,pathway_or_process,small_molecule,True,Acitretin is a retinoid drug used primarily to treat severe psoriasis.
acp-204,Other Neurotransmitters,pathway_or_process,small_molecule,True,ACP-204 acts as an inverse agonist at the 5-HT2A serotonin receptor.
adel-y01,Tau,pathway_or_process,antibody,True,ADEL-Y01 is a humanized IgG1 monoclonal antibody that binds tau protein modified by acetylation at lysine residue 280.
aduhelm,Amyloid-Related,pathway_or_process,antibody,True,"BIIB037 is a high-affinity, fully human IgG1 monoclonal antibody against a conformational epitope found on Aβ."
