id:ID(Drug),label,iri,chebi_id,atc_code,drug_type,drug_class,primary_indication,secondary_indications,mechanism_summary,status_overall,approved_regions,source,raw_source_ids
CHEBI:53289,donepezil,http://purl.obolibrary.org/obo/CHEBI_53289,CHEBI:53289,,,,,,,,,ChEBI,CHEBI:53289
CHEBI:64312,memantine,http://purl.obolibrary.org/obo/CHEBI_64312,CHEBI:64312,,,,,,,,,ChEBI,CHEBI:64312
CHEBI:8874,rivastigmine,http://purl.obolibrary.org/obo/CHEBI_8874,CHEBI:8874,,,,,,,,,ChEBI,CHEBI:8874
aab-003,AAB-003,https://www.alzforum.org/therapeutics/aab-003,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,AAB-003 is a humanized version of the anti-Aβ mouse antibody 3D6 and a derivative of bapineuzumab (AAB-001). AAB-003 was modified to differ from bapineuzumab in its Fc fraction in hopes of reducing the antibody’s effector function on microglial activation.,discontinued,,AlzForum.Therapeutics,aab-003
aadvac1,AADvac1,https://www.alzforum.org/therapeutics/aadvac1,,,Immunotherapy (active),Tau,"Alzheimer's Disease, Progressive Nonfluent Aphasia",,This is an active vaccine designed to elicit an immune response against pathologically modified forms of tau protein. It targets four similar epitopes in the microtubule binding repeats of the mid-domain of tau.,ongoing,,AlzForum.Therapeutics,aadvac1
aav-gad,AAV-GAD,https://www.alzforum.org/therapeutics/aav-gad,,,DNA/RNA-based,Other Neurotransmitters,Parkinson's Disease,,"AAV-GAD is a gene therapy for Parkinson’s disease. It delivers the glutamic acid decarboxylase (GAD) gene to the subthalamic nucleus, where this enzyme then increases production of the inhibitory neurotransmitter γ-amino-butyric acid (GABA).",ongoing,,AlzForum.Therapeutics,aav-gad
aav2-bdnf,AAV2-BDNF,https://www.alzforum.org/therapeutics/aav2-bdnf,,,DNA/RNA-based,Other,"MCI due to AD, Alzheimer's Disease",,This gene therapy uses an adeno-associated virus serotype 2 (AAV2) vector to carry a gene for human brain-derived neurotrophic factor into the brain. BDNF regulates neuron survival and function in key memory circuits in entorhinal cortex and hippocampus.,ongoing,,AlzForum.Therapeutics,aav2-bdnf
abbv-1088,ABBV-1088,https://www.alzforum.org/therapeutics/abbv-1088,,,Small Molecule,Other,Parkinson's Disease,,ABBV-1088 is an activator of the mitochondrial kinase PINK1. It is being developed as a potential disease-modifying therapy for Parkinson's disease.,ongoing,,AlzForum.Therapeutics,abbv-1088
abbv-552,ABBV-552,https://www.alzforum.org/therapeutics/abbv-552,,,Small Molecule,Other,Alzheimer's Disease,,"Formerly called SDI-118, ABBV-552 is an oral drug that modulates synaptic vesicle glycoprotein 2A (SV2A). It is being investigated for whether it is able to improve cognition in Alzheimer’s and other dementias, as well as in major depression and schizophrenia.",ongoing,,AlzForum.Therapeutics,abbv-552
abbv-916,ABBV-916,https://www.alzforum.org/therapeutics/abbv-916,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"ABBV-916 is a monoclonal antibody to Aβ. It recognizes N-terminal truncated Aβ modified with pyroglutamate at position 3 (N3), a form that is aggregated in amyloid plaques.",discontinued,,AlzForum.Therapeutics,abbv-916
abt-089,ABT-089,https://www.alzforum.org/therapeutics/abt-089,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,,discontinued,,AlzForum.Therapeutics,abt-089
abt-288,ABT-288,https://www.alzforum.org/therapeutics/abt-288,,,Small Molecule,"Cholinergic System, Other Neurotransmitters",Alzheimer's Disease,,"Abbott, now AbbVie, was developing this histamine H3 receptor antagonist for the treatment of cognitive deficits in Alzheimer's and schizophrenia. The rationale was to boost release in the brain of histamine, acetylcholine, noradrenaline, and dopamine in an attempt to enhance cognitive processes.",discontinued,,AlzForum.Therapeutics,abt-288
abt-384,ABT-384,https://www.alzforum.org/therapeutics/abt-384,,,Small Molecule,Other,Alzheimer's Disease,,This is a selective 11-β-hydroxysteroid dehydrogenase type 1 (HSD-1) inhibitor that was evaluated to test the hypothesis that elevated cortisol levels in the brain contribute to cognitive impairment.,discontinued,,AlzForum.Therapeutics,abt-384
abt-418,ABT 418,https://www.alzforum.org/therapeutics/abt-418,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,"Acute administration of nicotine to AD patients improved accuracy of delayed recall, as well as deficits in attention and information processing ( Sahakian et al. 1989 ; Wesnes and Warburton, 1984 ; Jones et al, 1992 ).",discontinued,,AlzForum.Therapeutics,abt-418
abt-957,ABT-957,https://www.alzforum.org/therapeutics/abt-957,,,Small Molecule,Other,Alzheimer's Disease,,"This compound is an inhibitor of the calcium-dependent cysteine protease calpain. This enzyme has long been known to be highly active in Alzheimer’s disease brain ( Saito et al., 1993 ), but its different isoforms, numerous substrates, and pleiotropic effects made drug discovery difficult.",discontinued,,AlzForum.Therapeutics,abt-957
